zouave zuavog
stove fornog
stoutness dikecog
stout dikag
storm atakig
storm ventegog
stork cikoniog
storehouse tenejog
store magazenog
stopper ŝtopilog
stoppage obstrukcog
stoop kurbiĝig
stool skabelog
stone ŝtonog
stomachic stomakag
stomach stomakog
stoker hejtistog
stoical stoikag
stocking ŝtrumpog
stockholder rentulog
stock provizog
stitch stebig
stirrup piedingog
stir movig
stipulate kondiĉigig
stipend salajrog
stint limigig
stink malbonodorig
stingy avara
sting pikilog
sting pikig
stimulate stimulig
stimulant stimulilog
stilts irilojg
still senmovag
stigmatise kalumnii
stigmata vundpostsignojg
stigma velkeco
stifle sufokig
stiff rigidag
sticky gluantag
stick gluig
stick bastonog
steward intendantog
stew boletig
stertorous stertorag
stern severegag
sterling verag
sterility senfruktecog
sterile senfruktag
stereometry stereometriog
stereotype stereotipog
steppe stepog
stepfather duonpatrog
step paŝig
step ŝtupog
stenography stenografiog
stenographer stenografistog
stench malbonodorog
stem trunketog
steersman direktilistog
steerage antaŭpartog
steer direktig
steep trempig
steep krutag
steelyard pesilo
steel ŝtalog
steed ĉevalog
steam-engine vapormaŝinog
steamboat vaporŝipog
steam vaporog
stealthy kaŝa
steal ŝtelig
steak steko
steady neŝanceleblag
steadfast konstantag
statutes regularog
statute regulog
stature kreskog
statue statuog
statistics statistikog
stationery paperaĵog
stationer papervendistog
stationary senprogresag
stationary senmovag
statesman politikistog
state esprimi
state Ŝtatog
starve malnutrig
startle ektremig
start ekirig
starling sturnog
stark rigida
stare rigardegig
starch amelog
starboard dekstrog
star stelog
staple komunag
stanza strofog
stand piedestalog
stand starig
stanchion subtenog
stammer balbutig
stamin staminog
stallion ĉevalvirog
stale malfreŝag
stalagmite stalagmitog
stalactite stalaktitog
stake paliso
stair ŝtupog
stain makulog
stain makulig
staid deca
stagnation senmovecog
stagnant senmovag
stagger ŝanceliĝig
stage estradog
stag cervog
stadium stadiog
stability fortikecog
stable ĉevalejog
stab vundi
squirrel sciurog
squirt elŝprucig
squirt elŝprucigilog
squint-eyed strabag
squint strabig
squib raketog
squeeze premig
squeamish precizemag
squeak bleketig
squat dikkorpag
squash premegig
square kvadratog
squander malŝparig
squall krietig
squad taĉmento
squabble malpacetig
spyglass vidilog
spy ekvidi
spy spionig
spurt elŝprucig
spurn elĵetig
spurious falsag
spur spronog
spume ŝaŭmog
spue vomig
sprite feino
sprinkler ŝprucigilog
springy elastag
spring saltig
sprightliness vivecog
sprightly sprita
sprig vergeto
sprawl sternig
sprain elartikigig
spout ŝprucig
spouse edzo—inog
spotless senmakulag
sportsman sportistog
sport sportog
spoonful plenkulerog
spoon kulerog
spontaneous propramovag
sponsor baptopatro—inog
sponge spongog
spoliation ruinigog
spokesman parolantog
spoil malbonigig
spoil difektig
split fendig
splinter fendpecetog
splice kunigig
splendour belegecog
splendid belegag
spleen lienog
splash ŝprucig
spittoon kraĉujog
spittle kraĉaĵog
spiteful venĝemag
spite malamog
spit kraĉig
spirituous alkoholag
spiritualist spiritualistog
spiritualism spiritualismog
spiritual spiritag
spirit alkoholog
spiral helikformag
spinster ŝpinistino
spinning-top turnludilog
spinning-wheel radŝpinilog
spine spinog
spindle aksog
spinal spinag
spinage spinacog
spin ŝpinig
spike najlegog
spider araneog
spice spicog
sphinx sfinksog
spherical sferag
sphere sferog
spendthrift malŝparulog
spend elspezig
spell ĉarmog
spell silabig
speedy rapidag
speed rapidigig
speed rapidog
speechless mutag
speech paroladog
speculum spegulog
speculative spekulativag
speculation spekulaciog
speculate spekulaciig
spectrum spektrog
spectre fantomog
spectator rigardantog
spectacles okulvitrojg
speck makuletog
specious verŝajnag
specimen modelog
species specog
specie monerog
speciality specialo—ecog
specialist specialistog
specialise specialigig
special specialag
spear lancog
speaker parolantog
speak parolig
spawn fiŝsemog
spatter ŝprucigi
spasm spasmog
sparse maldensag
sparrow-hawk akcipitrog
sparrow paserog
sparkle brilig
spark fajrerog
spare indulgig
spanish-fly kantaridog
spangle briletaĵog
spain hispanujog
spade fosilog
spacious vastag
space spacog
sow semig
sow porkinog
sovereignty regecog
sovereign regnestrog
southerly sudag
southern sudag
south sudog
souse trempegig
source fontog
sour acidag
soup supog
sound sonig
soul animog
sot drinkulog
sort specog
sorry malĝoja—etag
sorrow malĝojog
sorrel okzalog
sore ulceretog
sordid malpuregag
sorcery sorĉartog
sorcerer sorĉistog
sorb sorpog
soprano sopranog
sophism sofismog
sop trempaĵog
soothe kvietigig
soot fulgog
soon baldaŭg
sonorous sonorag
sonnet sonetog
songster kantistog
song kantog
sonata sonatog
son-in-law bofilog
son filog
somewhere ieg
somewhat iomg
sometimes—sometimes jen—jeng
sometimes kelkfojeg
sometime iamg
something iog
somehow ielg
somebody's iesg
somebody iug
someone iug
some kelkajg
sombre malhelag
solvent pagokapablog
solvency pagokapablecog
solve solvig
solvability solveblecog
solvable solveblag
solution solvog
solubility solveblecog
soluble solveblag
solitude solecog
solitary solag
soliloquy monologog
solidify malfluidiĝig
solidity fortikecog
solidarity solidarecog
solid fortikag
solicitude zorgecog
solicitous petega
solicitor advokatog
solicit petegig
solfeggio notkantog
solfa notkantig
solemnize solenigig
solemnity solenog
solemn solenag
solely soleg
solecism solicismog
sole solag
soldier soldatog
solder lutig
solar sunag
solace komfortig
sojourn restig
soirée vesperkunvenog
soiled malpurag
soil malpurigig
soil terog
softness molecog
softly kvieteg
softly mallaŭteg
soften moligig
soft molag
sofa sofog
soda sodog
sod bulog
socket ingo
sock ŝtrumpetog
society societog
socialist socialistog
socialism socialismog
social socialag
sociable societamag
sobriquet moknomog
sobriety sobrecog
sober sobrag
sob ploregig
soap sapumig
soap sapog
soak trempig
so tiag
snug komfortag
snuffle nazparolig
snuff flartabakog
snowflake neĝerog
snow neĝog
snow neĝig
snout nazegog
snort ekronkig
snore ronkig
snivel ploretig
snip tondetig
sniff enflarig
sneeze ternig
sneer ridmokig
sneak rampig
snatch ekprenig
snare kaptilog
snappish atakemag
snap ataketig
snake serpentetog
snail limakog
smut nigrigi
smuggle kontrabandig
smoulder bruletig
smother sufokig
smooth glatag
smoker fumamantog
smoke fumog
smoke fumig
smock kitelog
smithy forĝejog
smite frapig
smile ridetig
smile ridetog
smelt fandig
smell odorog
smear ŝmirig
smash disrompig
smart elegantag
small-pox variolog
smallness malgrandecog
small malgrandag
sly ruza
slut negliĝulinog
slumber dormetig
sluggard mallaborulog
slug limakog
slowness malrapidecog
slow malrapidag
sloven negliĝulog
slough ŝlimejog
slothful mallaboremag
sloth mallaboremog
slope deklivog
slop verŝetig
sloe prunelog
slit fendog
slimy ŝlimag
slime ŝlimog
slim graciag
slippery glatag
slipper pantoflog
slip faletig
slight maldikag
slide glitig
slide glitejog
slice tranĉaĵog
slender maldikag
sleigh glitveturilog
sleeve manikog
sleet hajlneĝog
sleep dormig
sleek glatag
slay mortigig
slavishness sklavemog
slavish sklavag
slavery sklavecog
slave sklavog
slaughter-house buĉejog
slaughter mortigig
slater tegmentistog
slate ardezog
slash tranĉadi
slanting oblikvag
slang vulgaresprimog
slander kalumniig
slake sensoifigig
slag metala
slack malstreĉag
skylight fenestretog
sky ĉielog
skull kraniog
skittles keglojg
skirt jupog
skirmish bataletog
skip saltetig
skinner felistog
skin senfeligig
skin haŭtog
skimmer ŝaŭmkulerog
skim senŝaŭmigig
skilled lertag
skill lertecog
skilful lertag
skiff boatetog
skid malakcelog
skewer trapikiletog
sketch skizog
sketch skizig
skeleton skeletog
skein fadenarog
skates glitilojg
skate glitig
size gluetog
size grandecog
sixty sesdekg
sixteen dek-sesg
six sesg
situation situacio
site sido
sit sidig
sister-in-law bofratinog
sister fratinog
siren sirenog
sire moŝtog
sire patrog
sir sinjorog
siphon sifonog
sip trinketig
sinner pekulog
sink malflosi
sink ŝtonlavujog
sinister funebrag
sinciput vertog
singular strangag
singe bruleti
single unuoblag
sing kantig
sinful pekemag
sinew tendenog
sinecure senlaboroficog
sincerity sincerecog
sincere sincerag
sinapis sinapog
sin pekig
sin pekog
simultaneous samtempag
simplify simpligig
simplicity simplecog
simpleness simplecog
simpleton naivegulog
simple simplag
simper naivegridetig
simmer boletig
simile similecog
similitude komparaĵog
similarity similecog
similar similag
silver-fir piniog
silver arĝentog
silly naivegag
silliness malsaĝecog
sill sojlog
silky silkecag
silken silkag
silkworm silkvermog
silk silkog
silhouette profilog
silex silikog
silent silentag
silence silentigig
silence silentog
signification signifog
significant signifag
signet sigelilog
signature subskribog
signal signalig
signal signalog
sign-manual subskribo—aĵog
signboard elpendaĵog
sign signog
sign signi—igig
sight vidog
sigh ekĝemig
sift kribrig
sieve kribrilog
siege sieĝog
sideboard telermeblog
side flankog
sickly malsanemag
sickle rikoltilog
sicken malsaniĝig
sick vomemag
shyness timeteco
shy timeta
shuttle navetog
shut fermig
shun evitig
shudder tremetig
shrug altigig
shrub arbetog
shroud kaŝi
shroud mortkitelog
shrimp markankretog
shrink malpliiĝig
shrill siblag
shriek kriegig
shrewdness sagacecog
shrewd sagacag
shred peco
showy luksag
shower-bath pluvbanog
shower pluvetog
show paradog
show montrig
shovel ŝovelilog
shovel ŝovelig
shove puŝig
shout kriegig
shoulder-blade skapolog
shoulder ŝultrog
should devusg
shot pafog
shortsightedness miopecog
shortsighted miopag
shortly frueg
shorten mallongigig
short mallongag
shore marbordog
shop butikog
shoe ŝuog
shocking terurag
shock frapog
shoal fiŝarog
shiver tremetig
shirt ĉemizog
shirk evitig
shire graflandog
shipwright ŝipfaristog
shipwreck ŝippereog
ship enŝipigig
ship ŝipog
shining brilag
shingle ŝindo—etog
shine brilig
shin tibiog
shilling ŝilingog
shift movi
shield ŝildi
shield ŝildog
shepherd paŝtistog
shell senŝeligig
shell ŝelog
shelf bretog
sheet drapog
sheepfold ŝafejog
sheepish embarasitag
sheep ŝafog
shed budog
sheath ingog
shears tondilog
shear tondig
sheaf garbog
she ŝig
shawl ŝalog
shavings rabotaĵog
shave razig
shatter frakasig
sharpen akrigig
shark ŝarkog
share partoprenig
share parto
share dividig
shape formig
shape formog
shank tibiog
shameless senhontag
shameful hontindag
shame hontigig
shame hontog
shambles buĉejog
sham ŝajniĝog
sham ŝajniĝig
shallow malprofundag
shake ŝancelig
shaggy harplenag
shadowy ĥimerag
shadow ombrog
shade nuancig
shade ombraĵog
shackles malhelpoj
shabby malnoblag
sexual seksag
sex seksog
sewer defluilegog
sew kudrig
severity severecog
severe severag
severally diverseg
several multajg
several diversag
sever disigig
seventy sepdekg
seventeen dek-sepg
seven sepg
settle decidig
settle loĝiĝig
session kunsidog
servitude sklavecog
servility sklavemog
servile sklavag
serviette buŝtukog
serviceable servemag
service servog
serve servig
servant servisto—inog
serum serumog
serpent serpentog
sermon predikog
seriousness seriozecog
serious seriozag
series seriog
sergeant serĝentog
serf servutulog
serenity trankvilecog
serene trankvilag
serenade serenadog
sere velkintag
seraph serafog
sequel sekvo
sepulchre tombegog
september septembrog
separation disigog
separately malkuneg
separate malkunigi
separate apartag
separate apartigi
sentry-box budetog
sentry gardostarantog
sentinel gardostarantog
sentimental sentimentalag
sentiment opiniog
sentient sentemag
sentence juĝi
sensuality voluptecog
sensual voluptemag
sensitive sentemag
sensible saĝag
sensibility sentemog
senseless sensentag
sense sentog
sensational sensaciag
sensation sentadog
senior plenaĝa
senility maljunecog
senile maljunag
send sendig
senator senatanog
senate-house senatejo
senate senatog
semolina tritikaĵog
seminary seminariog
seminarist seminarianog
semicolon punktokomog
semicircle duonrondog
semblance ŝajnecog
semaphore semaforo
selvage ŝtofrandog
sell vendig
selfishness egoismog
selfish egoistag
self-willed obstinag
self-taught memlernintag
self-reproach memriproĉog
self-evident klaregag
self-esteem memestimog
self-denial memforgesog
self-conceit tromemfidog
selection elektarog
select elektig
seldom malofteg
seize ekkaptig
seethe bolig
seer profetog
seemly decag
seeming ŝajna
seem ŝajnig
seek serĉig
seedling kreskaĵog
seed semog
seesaw balancilog
see vidig
seduce delogig
sedition ribelog
sediment feĉog
sedentary hejmsidag
sedate seriozag
sedan-chair portilog
security sendanĝerecog
secure sendanĝerag
secular mondag
sectarian sektanog
sect sektog
secrete kaŝig
secretary sekretariog
secret sekretag
secrecy sekreteco
seclusion solecog
sebaceous sebecag
seat sidigig
seat seĝog
seaworthy marirebla
seasoning spicaĵog
seasonable ĝustatempag
season sezonog
seashore marbordog
seaside marbordog
search-warrant traserĉog
search serĉig
sear kaŭterizi
seamstress kudristinog
seamanship marveturartog
seaman maristo
seam kunkudrog
sealing-wax sigelvaksog
seal sigelo—ilog
seal sigelig
sea-gull mevog
seafaring marag
sea marog
scythe falĉilog
scurvy skorbutog
scurrilous maldeca
scurf favog
scum ŝaŭmog
sculptor skulptistog
scullery lavejo
scuffle interpuŝog
scrutiny serĉadog
scrutinize esplori
scrupulous konsciencag
scruple konsciencdubog
scrub frotlavig
scroll rulpaperog
scrofula skrofolog
scripture sankta
scribe skribistog
scribble malbonskribig
screw-driver ŝraŭbturnilog
screw ŝraŭbig
screw ŝraŭbog
